GT BW,Class BW,Measured BW,GT SF,Class SF,Measured SF (upscaled),Measured SF (downscaled),Measured SF,Height,Confidence,IoU
773438.00,725000.00,778259.28,11,11,11,11,11,0.097282,0.9661,0.9858
773438.00,725000.00,773276.57,11,11,11,11,11,0.096660,0.9651,0.9856
148438.00,125000.00,147882.46,12,12,12,12,12,0.018485,0.8457,0.9527
148438.00,125000.00,143987.89,12,12,12,12,12,0.017998,0.7429,0.9663
367188.00,375000.00,366590.02,10,10,10,10,10,0.045824,0.9675,0.9824
195312.00,187500.00,196563.72,12,12,12,12,12,0.024570,0.9628,0.9476
367188.00,375000.00,345817.57,10,10,10,10,10,0.043227,0.9389,0.9265
367188.00,375000.00,372135.64,10,10,10,10,10,0.046517,0.9339,0.5244
195312.00,187500.00,193515.78,12,12,12,12,12,0.024189,0.9336,0.9445
195312.00,187500.00,191065.31,12,12,12,12,12,0.023883,0.9207,0.9623
414062.00,375000.00,418996.81,12,12,12,12,12,0.052375,0.9096,0.9849
367188.00,375000.00,341087.34,10,10,10,10,10,0.042636,0.9074,0.9077
414062.00,375000.00,413737.30,12,12,12,12,12,0.051717,0.8801,0.9920
257812.00,250000.00,257381.44,10,10,10,10,10,0.032173,0.9774,0.9877
367188.00,375000.00,366129.88,10,10,10,10,10,0.045766,0.9590,0.9934
257812.00,250000.00,258905.41,10,10,10,10,10,0.032363,0.9585,0.9894
367188.00,375000.00,363633.16,10,10,10,10,10,0.045454,0.9569,0.9709
195312.00,187500.00,197767.26,12,12,12,12,12,0.024721,0.9284,0.9821
195312.00,187500.00,197427.75,12,12,12,12,12,0.024678,0.9175,0.9766
414062.00,375000.00,415059.21,12,12,12,12,12,0.051882,0.9171,0.9850
414062.00,375000.00,402217.39,12,12,12,12,12,0.050277,0.9170,0.9683
414062.00,375000.00,415922.16,12,12,12,12,12,0.051990,0.8992,0.9925
195312.00,187500.00,205943.11,12,12,12,12,12,0.025743,0.7739,0.9319
195312.00,187500.00,208594.32,12,12,12,12,12,0.026074,0.7522,0.8298
367188.00,375000.00,361311.44,10,10,10,10,10,0.045164,0.9789,0.9755
257812.00,250000.00,257580.76,10,10,10,10,10,0.032198,0.9763,0.9649
257812.00,250000.00,256530.94,10,10,10,10,10,0.032066,0.9732,0.9830
257812.00,250000.00,257887.36,10,10,10,10,10,0.032236,0.9690,0.9761
367188.00,375000.00,368867.87,10,10,10,10,10,0.046108,0.9655,0.9010
414062.00,375000.00,418974.88,12,12,12,12,12,0.052372,0.9628,0.9708
257812.00,250000.00,254102.71,10,10,10,10,10,0.031763,0.9573,0.9820
367188.00,375000.00,384084.70,10,10,10,10,10,0.048011,0.9548,0.9490
195312.00,187500.00,198766.95,12,12,12,12,12,0.024846,0.9443,0.9746
257812.00,250000.00,254842.76,10,10,10,10,10,0.031855,0.9438,0.9678
414062.00,375000.00,416378.02,12,12,12,12,12,0.052047,0.9351,0.9790
367188.00,375000.00,347552.00,10,10,10,10,10,0.043444,0.9286,0.9414
195312.00,187500.00,199045.42,12,12,12,12,12,0.024881,0.9145,0.9643
414062.00,375000.00,403456.69,12,12,12,12,12,0.050432,0.9140,0.9678
257812.00,250000.00,259716.51,10,10,10,10,10,0.032465,0.9028,0.9712
367188.00,375000.00,390111.92,10,10,10,10,10,0.048764,0.8579,0.9300
257812.00,250000.00,256270.41,10,10,10,10,10,0.032034,0.9588,0.9904
257812.00,250000.00,254974.37,10,10,10,10,10,0.031872,0.9120,0.9852
414062.00,375000.00,378852.84,12,12,12,12,12,0.047357,0.8313,0.8189
367188.00,375000.00,366395.95,12,12,12,12,12,0.045799,0.9635,0.9823
367188.00,375000.00,364435.08,12,12,12,12,12,0.045554,0.9613,0.9893
539062.00,500000.00,537618.16,12,12,12,12,12,0.067202,0.9525,0.9854
320312.00,375000.00,327842.71,10,10,10,10,10,0.040980,0.9507,0.9595
539062.00,500000.00,538298.61,12,12,12,12,12,0.067287,0.9506,0.9867
539062.00,500000.00,557729.72,12,12,12,12,12,0.069716,0.9408,0.9624
539062.00,500000.00,552621.84,12,12,12,12,12,0.069078,0.9348,0.8975
351562.00,375000.00,348352.43,10,10,10,10,10,0.043544,0.9322,0.9836
367188.00,375000.00,355277.06,12,12,12,12,12,0.044410,0.9281,0.9656
351562.00,375000.00,352415.08,10,10,10,10,10,0.044052,0.7897,0.9919
351562.00,375000.00,352247.24,10,10,10,10,10,0.044031,0.7754,0.9607
320312.00,375000.00,323600.77,10,10,10,10,10,0.040450,0.7368,0.9743
367188.00,375000.00,367116.45,12,12,12,12,12,0.045890,0.9706,0.9947
367188.00,375000.00,365067.48,12,12,12,12,12,0.045633,0.9576,0.9769
351562.00,375000.00,353706.36,10,10,10,10,10,0.044213,0.9530,0.9505
539062.00,500000.00,534164.43,12,12,12,12,12,0.066771,0.9525,0.9693
351562.00,375000.00,355069.88,10,10,10,10,10,0.044384,0.9356,0.9899
351562.00,375000.00,355122.92,10,10,10,10,10,0.044390,0.9342,0.9657
351562.00,375000.00,351495.74,10,10,10,10,10,0.043937,0.9297,0.9854
351562.00,375000.00,352869.03,10,10,10,10,10,0.044109,0.9270,0.9664
320312.00,375000.00,301594.50,10,10,10,9,9,0.037699,0.9096,0.9045
320312.00,375000.00,324839.59,10,10,10,10,10,0.040605,0.8557,0.9736
539062.00,500000.00,540745.74,12,12,12,12,12,0.067593,0.9751,0.9795
367188.00,375000.00,364087.10,12,12,12,12,12,0.045511,0.9675,0.9643
367188.00,375000.00,357866.88,12,12,12,12,12,0.044733,0.9584,0.9695
539062.00,500000.00,535963.42,12,12,12,12,12,0.066995,0.9431,0.9915
539062.00,500000.00,540084.84,12,12,12,12,12,0.067511,0.9423,0.9787
539062.00,500000.00,520193.10,12,12,12,12,12,0.065024,0.9179,0.9613
320312.00,375000.00,322689.06,10,10,10,10,10,0.040336,0.8511,0.9812
367188.00,375000.00,365205.76,12,12,12,12,12,0.045651,0.9692,0.9853
367188.00,375000.00,361131.67,12,12,12,12,12,0.045141,0.9664,0.9690
539062.00,500000.00,524897.58,12,12,12,12,12,0.065612,0.9523,0.9031
539062.00,500000.00,536188.13,12,12,12,12,12,0.067024,0.9352,0.9861
367188.00,375000.00,398946.76,12,12,12,12,12,0.049868,0.9114,0.8802
351562.00,375000.00,352506.64,10,10,10,10,10,0.044063,0.8826,0.9687
320312.00,375000.00,328971.86,10,10,10,10,10,0.041121,0.8479,0.9669
320312.00,375000.00,324446.68,10,10,10,10,10,0.040556,0.8244,0.9837
320312.00,375000.00,320044.28,10,10,10,10,10,0.040006,0.7662,0.9963
367188.00,375000.00,348377.23,10,10,10,10,10,0.043547,0.9590,0.9197
367188.00,375000.00,371516.11,10,10,10,10,10,0.046440,0.9535,0.9861
367188.00,375000.00,360876.08,10,10,10,10,10,0.045110,0.9436,0.9499
132812.00,125000.00,124584.20,10,10,10,10,10,0.015573,0.9229,0.9336
710938.00,725000.00,722965.24,11,11,11,11,11,0.090371,0.9175,0.9748
132812.00,125000.00,127326.01,10,10,10,10,10,0.015916,0.8944,0.8656
132812.00,125000.00,131037.71,10,10,10,10,10,0.016380,0.8764,0.9828
710938.00,725000.00,712644.58,11,11,11,11,11,0.089081,0.9729,0.9833
710938.00,725000.00,697285.18,11,11,11,11,11,0.087161,0.9686,0.9731
367188.00,375000.00,362623.21,10,10,10,10,10,0.045328,0.9679,0.9571
367188.00,375000.00,368180.27,10,10,10,10,10,0.046023,0.9627,0.9864
132812.00,125000.00,132254.60,10,10,10,10,10,0.016532,0.8884,0.9907
164062.00,187500.00,162720.68,12,12,12,12,12,0.020340,0.8794,0.9678
164062.00,187500.00,158254.15,12,12,12,12,12,0.019782,0.8450,0.9601
164062.00,187500.00,160953.52,12,12,12,12,12,0.020119,0.8411,0.9605
710938.00,725000.00,720340.73,11,11,11,11,11,0.090043,0.9642,0.9740
710938.00,725000.00,709810.26,11,11,11,11,11,0.088726,0.9412,0.9943
367188.00,375000.00,375068.66,10,10,10,10,10,0.046884,0.9354,0.9512
132812.00,125000.00,135017.40,10,10,10,10,10,0.016877,0.9253,0.9704
132812.00,125000.00,130521.77,10,10,10,10,10,0.016315,0.9239,0.9236
710938.00,725000.00,724414.35,11,11,11,11,11,0.090552,0.9077,0.9772
132812.00,125000.00,131549.84,10,10,10,10,10,0.016444,0.8710,0.9724
710938.00,725000.00,713672.64,11,11,11,11,11,0.089209,0.9739,0.9878
367188.00,375000.00,369041.44,10,10,10,10,10,0.046130,0.9671,0.9861
710938.00,725000.00,706629.99,11,11,11,11,11,0.088329,0.9601,0.9468
367188.00,375000.00,364620.21,10,10,10,10,10,0.045578,0.9596,0.9815
710938.00,725000.00,710633.87,11,11,11,11,11,0.088829,0.9576,0.9671
132812.00,125000.00,137220.38,10,10,10,10,10,0.017153,0.9418,0.9595
367188.00,375000.00,365849.49,10,10,10,10,10,0.045731,0.9065,0.9887
710938.00,725000.00,624341.01,11,11,11,11,11,0.078043,0.9052,0.7709
710938.00,725000.00,708501.82,11,11,11,11,11,0.088563,0.8965,0.9673
132812.00,125000.00,128073.69,10,10,10,10,10,0.016009,0.8875,0.9276
164062.00,187500.00,163660.05,12,12,12,12,12,0.020458,0.7760,0.6815
414062.00,375000.00,417105.91,10,10,10,10,10,0.052138,0.9671,0.9780
414062.00,375000.00,410405.16,10,10,10,10,10,0.051301,0.9666,0.9820
414062.00,375000.00,406287.43,10,10,10,10,10,0.050786,0.9159,0.9437
445312.00,500000.00,448859.21,12,12,12,12,12,0.056107,0.8626,0.9876
414062.00,375000.00,354075.43,10,10,10,10,10,0.044259,0.8605,0.6671
445312.00,500000.00,450223.92,12,12,12,12,12,0.056278,0.8351,0.9078
101562.00,125000.00,113904.00,12,12,12,12,12,0.014238,0.7986,0.8740
226562.00,250000.00,227581.02,10,10,10,10,10,0.028448,0.9656,0.9835
445312.00,500000.00,447027.21,12,12,12,12,12,0.055878,0.9532,0.9948
226562.00,250000.00,226828.58,10,10,10,10,10,0.028354,0.9257,0.9581
226562.00,250000.00,223409.53,10,10,10,10,10,0.027926,0.8884,0.9741
101562.00,125000.00,127070.19,12,12,12,12,12,0.015884,0.7587,0.6622
414062.00,375000.00,411628.54,10,10,10,10,10,0.051454,0.9581,0.9840
414062.00,375000.00,417547.23,10,10,10,10,10,0.052193,0.9537,0.9850
445312.00,500000.00,447011.95,12,12,12,12,12,0.055876,0.9486,0.9907
101562.00,125000.00,113447.19,12,12,12,12,12,0.014181,0.8976,0.8936
101562.00,125000.00,114515.30,12,12,12,12,12,0.014314,0.8353,0.8793
101562.00,125000.00,103835.11,12,12,12,11,11,0.012979,0.7783,0.8115
226562.00,250000.00,226060.87,10,10,10,10,10,0.028258,0.7507,0.9364
226562.00,250000.00,226408.00,10,10,10,10,10,0.028301,0.7459,0.9772
414062.00,375000.00,416119.58,10,10,10,10,10,0.052015,0.9692,0.9724
414062.00,375000.00,408397.67,10,10,10,10,10,0.051050,0.9690,0.9843
226562.00,250000.00,227738.38,10,10,10,10,10,0.028467,0.9491,0.9745
226562.00,250000.00,224759.10,10,10,10,10,10,0.028095,0.9416,0.9781
414062.00,375000.00,419160.84,10,10,10,10,10,0.052395,0.9364,0.9823
445312.00,500000.00,450425.15,12,12,12,12,12,0.056303,0.9326,0.9799
445312.00,500000.00,449728.73,12,12,12,12,12,0.056216,0.9237,0.9865
414062.00,375000.00,409588.81,10,10,10,10,10,0.051199,0.9177,0.9181
101562.00,125000.00,110062.12,12,12,12,12,12,0.013758,0.9146,0.9213
445312.00,500000.00,447381.97,12,12,12,12,12,0.055923,0.7998,0.9939
445312.00,500000.00,446174.62,12,12,12,12,12,0.055772,0.7971,0.9613
632812.00,725000.00,631374.36,11,11,11,11,11,0.078922,0.9232,0.9834
632812.00,725000.00,644392.01,11,11,11,11,11,0.080549,0.8966,0.9624
632812.00,725000.00,630565.40,11,11,11,11,11,0.078821,0.8878,0.9714
210938.00,187500.00,214607.24,9,9,9,9,9,0.026826,0.8227,0.9500
304688.00,375000.00,330948.35,10,10,10,10,10,0.041369,0.7036,0.8397
210938.00,187500.00,209227.56,9,9,9,9,9,0.026153,0.9013,0.9723
632812.00,725000.00,634445.19,11,11,11,11,11,0.079306,0.8214,0.9843
304688.00,375000.00,307023.05,10,10,10,9,9,0.038378,0.7075,0.9581
164062.00,187500.00,167675.02,10,10,10,10,10,0.020959,0.7410,0.9761
632812.00,725000.00,628606.80,11,12,12,12,12,0.078576,0.7390,0.9706
164062.00,187500.00,164013.86,10,10,10,10,10,0.020502,0.7267,0.9114
632812.00,725000.00,620775.22,11,11,11,11,11,0.077597,0.9241,0.9302
632812.00,725000.00,638759.14,11,11,11,11,11,0.079845,0.9187,0.9907
164062.00,187500.00,167936.33,10,10,10,10,10,0.020992,0.8120,0.9743
164062.00,187500.00,165360.18,10,10,10,10,10,0.020670,0.7625,0.9840
210938.00,187500.00,209455.49,9,9,9,9,9,0.026182,0.7558,0.9728
304688.00,375000.00,301157.95,10,10,10,9,9,0.037645,0.7015,0.9806
757812.00,725000.00,752429.96,11,11,11,11,11,0.094054,0.9699,0.9890
195312.00,187500.00,193170.79,11,11,11,11,11,0.024146,0.9360,0.9649
710938.00,725000.00,706423.28,12,12,12,12,12,0.088303,0.9331,0.9819
757812.00,725000.00,762318.61,11,11,11,11,11,0.095290,0.9106,0.9751
648438.00,725000.00,674481.39,11,12,12,12,12,0.084310,0.8511,0.8993
710938.00,725000.00,710067.75,12,12,12,12,12,0.088758,0.7339,0.7264
648438.00,725000.00,652046.20,11,11,11,11,11,0.081506,0.7244,0.9770
195312.00,187500.00,197476.45,11,11,11,11,11,0.024685,0.9588,0.9706
710938.00,725000.00,712078.09,12,12,12,12,12,0.089010,0.9575,0.9972
757812.00,725000.00,759095.19,11,11,11,11,11,0.094887,0.9481,0.9717
648438.00,725000.00,661825.18,11,11,11,11,11,0.082728,0.9432,0.9768
757812.00,725000.00,761132.24,11,11,11,11,11,0.095142,0.9430,0.9805
757812.00,725000.00,750732.42,11,11,11,11,11,0.093842,0.9430,0.9891
195312.00,187500.00,190258.03,11,11,11,11,11,0.023782,0.9350,0.9129
757812.00,725000.00,756394.39,11,11,11,11,11,0.094549,0.9321,0.9912
195312.00,187500.00,204401.02,11,11,11,11,11,0.025550,0.9163,0.9537
757812.00,725000.00,756959.92,11,11,11,11,11,0.094620,0.8753,0.9827
648438.00,725000.00,653998.37,11,11,11,11,11,0.081750,0.7852,0.9880
710938.00,725000.00,712451.93,12,12,12,12,12,0.089056,0.9514,0.9836
195312.00,187500.00,195226.64,11,11,11,11,11,0.024403,0.9503,0.9793
195312.00,187500.00,197816.13,11,11,11,11,11,0.024727,0.9473,0.9755
710938.00,725000.00,701522.59,12,12,12,12,12,0.087690,0.9428,0.9867
710938.00,725000.00,708524.70,12,12,12,12,12,0.088566,0.9404,0.9784
757812.00,725000.00,744258.88,11,11,11,11,11,0.093032,0.9272,0.9729
710938.00,725000.00,720103.14,12,12,12,12,12,0.090013,0.9224,0.9716
195312.00,187500.00,188605.79,11,11,11,11,11,0.023576,0.9154,0.9620
195312.00,187500.00,196598.05,11,11,11,11,11,0.024575,0.8955,0.8763
757812.00,725000.00,746074.68,11,11,11,11,11,0.093259,0.8948,0.9783
710938.00,725000.00,703346.25,12,12,12,12,12,0.087918,0.8643,0.9561
648438.00,725000.00,669890.88,11,11,11,11,11,0.083736,0.8277,0.8942
648438.00,725000.00,667444.71,11,11,11,11,11,0.083431,0.8213,0.8684
195312.00,187500.00,201893.81,11,11,11,11,11,0.025237,0.7492,0.7819
648438.00,725000.00,647520.07,11,11,11,11,11,0.080940,0.9410,0.9862
710938.00,725000.00,720846.18,12,12,12,12,12,0.090106,0.8791,0.9678
648438.00,725000.00,644419.67,11,11,11,11,11,0.080552,0.8468,0.9891
195312.00,187500.00,197324.75,11,11,11,11,11,0.024666,0.8324,0.6545
117188.00,125000.00,121227.26,10,10,10,10,10,0.015153,0.8880,0.9576
445312.00,375000.00,446964.26,10,10,11,10,11,0.055871,0.8866,0.9919
101562.00,125000.00,119277.48,12,12,12,12,12,0.014910,0.8752,0.8499
164062.00,187500.00,171297.07,11,11,11,11,11,0.021412,0.8530,0.9504
117188.00,125000.00,120323.18,10,10,10,10,10,0.015040,0.8219,0.9479
164062.00,187500.00,167645.45,11,11,11,11,11,0.020956,0.7766,0.9601
445312.00,725000.00,460107.18,10,11,11,10,10,0.057513,0.9809,0.9261
117188.00,125000.00,120691.78,10,10,10,10,10,0.015086,0.9281,0.9687
117188.00,125000.00,115313.05,10,10,10,10,10,0.014414,0.9174,0.9374
117188.00,125000.00,115552.90,10,10,10,10,10,0.014444,0.9045,0.9459
117188.00,125000.00,123443.60,10,10,10,10,10,0.015430,0.8405,0.9388
445312.00,375000.00,449732.30,10,10,11,10,11,0.056217,0.8608,0.9833
117188.00,125000.00,121494.29,10,10,10,10,10,0.015187,0.7699,0.7123
445312.00,375000.00,448192.60,10,10,11,10,11,0.056024,0.9721,0.9786
445312.00,375000.00,445234.30,10,10,10,10,10,0.055654,0.9282,0.9791
117188.00,125000.00,127543.45,10,10,10,10,10,0.015943,0.9108,0.9125
445312.00,375000.00,446148.87,10,10,11,10,11,0.055769,0.8866,0.9845
101562.00,125000.00,119243.62,12,12,12,12,12,0.014905,0.8582,0.8380
101562.00,125000.00,125987.05,12,12,12,12,12,0.015748,0.7946,0.8027
117188.00,125000.00,122234.34,10,10,10,10,10,0.015279,0.7748,0.9475
289062.00,250000.00,287586.21,12,12,12,12,12,0.035948,0.9203,0.9847
273438.00,250000.00,280029.77,10,10,10,10,10,0.035004,0.8717,0.9733
273438.00,250000.00,277624.13,10,10,10,10,10,0.034703,0.8466,0.9080
289062.00,250000.00,287853.24,12,12,12,12,12,0.035982,0.9399,0.9786
289062.00,250000.00,285788.54,12,12,12,12,12,0.035724,0.9358,0.9849
289062.00,250000.00,291655.54,12,12,12,12,12,0.036457,0.9299,0.9560
289062.00,250000.00,285337.45,12,12,12,12,12,0.035667,0.9250,0.9596
273438.00,250000.00,272594.45,10,10,10,10,10,0.034074,0.9053,0.9812
289062.00,250000.00,323831.56,12,12,13,12,13,0.040479,0.8992,0.8816
273438.00,250000.00,273396.49,10,10,10,10,10,0.034175,0.8152,0.9490
273438.00,250000.00,282418.25,10,10,10,10,10,0.035302,0.8127,0.9412
289062.00,250000.00,289096.59,12,12,12,12,12,0.036137,0.9192,0.9963
289062.00,250000.00,293994.90,12,12,12,12,12,0.036749,0.9064,0.9698
273438.00,250000.00,285066.60,10,10,10,10,10,0.035633,0.8676,0.9545
273438.00,250000.00,266742.71,10,10,10,10,10,0.033343,0.8672,0.9690
148438.00,125000.00,147249.22,10,10,10,10,10,0.018406,0.7416,0.9588
273438.00,250000.00,275014.40,10,10,10,10,10,0.034377,0.9376,0.9671
273438.00,250000.00,273159.03,10,10,10,10,10,0.034145,0.9295,0.9974
148438.00,125000.00,129052.16,10,10,10,10,10,0.016132,0.8696,0.7740
273438.00,250000.00,275721.43,10,10,10,10,10,0.034465,0.8549,0.9799
289062.00,250000.00,286198.85,12,12,12,12,12,0.035775,0.8430,0.9740
289062.00,250000.00,272581.10,12,12,12,12,12,0.034073,0.8380,0.9184
148438.00,125000.00,146305.08,10,10,10,10,10,0.018288,0.8283,0.9024
726562.00,725000.00,722870.83,12,12,12,12,12,0.090359,0.9605,0.9881
132812.00,125000.00,128527.94,9,9,9,9,9,0.016066,0.9581,0.9668
132812.00,125000.00,130117.42,9,9,9,9,9,0.016265,0.9567,0.9599
132812.00,125000.00,133011.82,9,9,9,9,9,0.016626,0.9509,0.9506
726562.00,725000.00,739305.50,12,12,12,12,12,0.092413,0.9316,0.9660
726562.00,725000.00,708064.08,12,12,12,12,12,0.088508,0.9021,0.9344
726562.00,725000.00,737401.84,12,12,12,12,12,0.092175,0.9469,0.9789
726562.00,725000.00,731656.49,12,12,12,12,12,0.091457,0.9156,0.9851
132812.00,125000.00,131670.00,9,9,9,9,9,0.016459,0.9112,0.9547
664062.00,725000.00,667139.05,12,12,12,12,12,0.083392,0.8745,0.9871
664062.00,725000.00,650866.51,12,12,12,12,12,0.081358,0.8279,0.9731
132812.00,125000.00,142859.22,9,9,9,9,9,0.017857,0.8014,0.9039
664062.00,725000.00,650341.03,12,12,12,12,12,0.081293,0.7758,0.9765
726562.00,725000.00,722332.00,12,12,12,12,12,0.090292,0.7542,0.9780
664062.00,725000.00,664343.12,12,12,12,12,12,0.083043,0.9608,0.9893
664062.00,725000.00,661184.31,12,12,12,12,12,0.082648,0.9595,0.9901
132812.00,125000.00,133691.79,9,9,9,9,9,0.016711,0.9396,0.9840
